Municipios;Sexo;Periodo;Total
03011 Alfàs del Pi, l';Total;2002;15.848
03011 Alfàs del Pi, l';Total;2001;14.980
03011 Alfàs del Pi, l';Total;2000;14.139
03011 Alfàs del Pi, l';Total;1999;13.226
03011 Alfàs del Pi, l';Total;1998;13.145
03011 Alfàs del Pi, l';Total;1997;""
03011 Alfàs del Pi, l';Total;1996;12.547
03012 Algorfa;Total;2022;3.513
03012 Algorfa;Total;2021;3.396
03012 Algorfa;Total;2020;3.125
03012 Algorfa;Total;2019;2.935
03012 Algorfa;Total;2018;2.838
03012 Algorfa;Total;2017;2.761
03012 Algorfa;Total;2016;3.222
03012 Algorfa;Total;2015;3.693
03012 Algorfa;Total;2014;3.799
03012 Algorfa;Total;2013;5.004
03012 Algorfa;Total;2012;4.755
03012 Algorfa;Total;2011;4.625
03012 Algorfa;Total;2010;4.537
03012 Algorfa;Total;2009;4.346
03012 Algorfa;Total;2008;4.125
03012 Algorfa;Total;2007;3.645
03012 Algorfa;Total;2006;2.914
03012 Algorfa;Total;2005;2.297
03012 Algorfa;Total;2004;1.956
03012 Algorfa;Total;2003;1.782
03012 Algorfa;Total;2002;1.589
03012 Algorfa;Total;2001;1.507
03012 Algorfa;Total;2000;1.243
03012 Algorfa;Total;1999;1.220
03012 Algorfa;Total;1998;1.168
03012 Algorfa;Total;1997;""
03012 Algorfa;Total;1996;1.140
03013 Algueña;Total;2022;1.351
03013 Algueña;Total;2021;1.334
03013 Algueña;Total;2020;1.326
03013 Algueña;Total;2019;1.336
03013 Algueña;Total;2018;1.341
03013 Algueña;Total;2017;1.372
03013 Algueña;Total;2016;1.391
03013 Algueña;Total;2015;1.413
03013 Algueña;Total;2014;1.457
03013 Algueña;Total;2013;1.528
03013 Algueña;Total;2012;1.527
03013 Algueña;Total;2011;1.503
03013 Algueña;Total;2010;1.530
03013 Algueña;Total;2009;1.551
03013 Algueña;Total;2008;1.561
03013 Algueña;Total;2007;1.515
03013 Algueña;Total;2006;1.528
03013 Algueña;Total;2005;1.501
03013 Algueña;Total;2004;1.452
03013 Algueña;Total;2003;1.449
03013 Algueña;Total;2002;1.464
03013 Algueña;Total;2001;1.454
03013 Algueña;Total;2000;1.447
03013 Algueña;Total;1999;1.459
03013 Algueña;Total;1998;1.428
03013 Algueña;Total;1997;""
03013 Algueña;Total;1996;1.425
03014 Alicante/Alacant;Total;2022;338.577
03014 Alicante/Alacant;Total;2021;337.304
03014 Alicante/Alacant;Total;2020;337.482
03014 Alicante/Alacant;Total;2019;334.887
03014 Alicante/Alacant;Total;2018;331.577
03014 Alicante/Alacant;Total;2017;329.988
03014 Alicante/Alacant;Total;2016;330.525
03014 Alicante/Alacant;Total;2015;328.648
03014 Alicante/Alacant;Total;2014;332.067
03014 Alicante/Alacant;Total;2013;335.052
03014 Alicante/Alacant;Total;2012;334.678
03014 Alicante/Alacant;Total;2011;334.329
03014 Alicante/Alacant;Total;2010;334.418
03014 Alicante/Alacant;Total;2009;334.757
03014 Alicante/Alacant;Total;2008;331.750
03014 Alicante/Alacant;Total;2007;322.673
03014 Alicante/Alacant;Total;2006;322.431
03014 Alicante/Alacant;Total;2005;319.380
03014 Alicante/Alacant;Total;2004;310.330
03014 Alicante/Alacant;Total;2003;305.911
03014 Alicante/Alacant;Total;2002;293.629
03014 Alicante/Alacant;Total;2001;283.243
03014 Alicante/Alacant;Total;2000;276.886
03014 Alicante/Alacant;Total;1999;272.432
03014 Alicante/Alacant;Total;1998;272.432
03014 Alicante/Alacant;Total;1997;""
03014 Alicante/Alacant;Total;1996;274.577
03015 Almoradí;Total;2022;21.401
03015 Almoradí;Total;2021;21.404
03015 Almoradí;Total;2020;21.208
03015 Almoradí;Total;2019;20.803
03015 Almoradí;Total;2018;20.542
03015 Almoradí;Total;2017;20.332
03015 Almoradí;Total;2016;20.138
03015 Almoradí;Total;2015;19.955
03015 Almoradí;Total;2014;19.992
03015 Almoradí;Total;2013;19.788
03015 Almoradí;Total;2012;19.601
03015 Almoradí;Total;2011;19.371
03015 Almoradí;Total;2010;19.598
03015 Almoradí;Total;2009;19.147
03015 Almoradí;Total;2008;18.536
03015 Almoradí;Total;2007;17.945
03015 Almoradí;Total;2006;17.494
03015 Almoradí;Total;2005;16.547
